ID_ESTACAO;NOME_ESTACAO;COD_MUNIC
182;AREIAS;290570
184;MACHADINHO;290570
185;CÂMARA;290570
187;GRAVATÁ;290570
181;ESCOLA;291005
183;CONCÓRDIA;291005
186;FUTURAMA I;291005
188;LEANDRINHO;291005
190;COBRE;291005
189;LAMARÃO;292950
88; VOLTA DA CAPELA;310570
93; GESTEIRA;310570
99; BARRA LONGA CENTRO;310570
71;PUC BARREIRO;310620
72;PUC SÃO GABRIEL;310620
73;CENTRO AV. DO CONTORNO;310620
68;CENTRO ADMINISTRATIVO BETIM;310670
69;PETROVALE;310670
74;ALTEROSA;310670
94;ESTAÇÃO PARQUE DA CACHOEIRA;310900
95;ESTAÇÃO E.M. PE. VICENTE ASSUNÇÃO;310900
103; COMUNIDADE DO FEIJÃO;310900
77;AEROPORTO CMD;311750
78;CÓRREGOS;311750
79;SAPO;311750
76;JARDIM PROFETA;311800
80;LOBO LEITE;311800
92;NOVO PLATAFORMA;311800
96; MATRIZ;311800
104;BASÍLICA;311800
108; PIRES;311800
81;SENAC VALE DO AÇO;311940
70;PIRATININGA;312980
75;CASCATA;312980
82;BOM RETIRO;313130
83;VENEZA;313130
86;CIDADE NOBRE;313130
91;CARIRU;313130
84;MAJOR LAGE;313170
90;PARÁ;313170
101;PANORAMA;313170
105;FÉLIX;313170
106; PARACATU DE BAIXO;314000
107; MOTAS;314610
61;COPASA;314700
62;LAGOA TRINDADE RODRIGUES;314700
63;SÃO DOMINGOS;314700
64;SÉRGIO ULHOA;314700
65;CLUBE DO UNIÃO;314700
89;FUNAM;315120
301;SAAE;315120
87; SANTANA DO DESERTO;315500
100; RIO DOCE;315500
102; NOVO SOBERBO;315740
66;CENTRO;316295
67;CÉLVIA;316295
10041;JARDIM ENCANTADO;316295
10521;FILHINHA GAMA;316295
85;ESCOLA SEMETINHA;316870
97;SENAI/CFP;316870
98;CECÍLIA MEIRELES;316870
109;HOSPITAL VITAL BRAZIL;316870
28;RAMQAR 8 - VILA CAPIXABA;320130
21;RAMQAR 1 - LARANJEIRAS;320500
22;RAMQAR 2 - CARAPINA;320500
29;RAMQAR 9 - CIDADE CONTINENTAL;320500
26;RAMQAR 6 - VILA VELHA - IBES;320520
27;RAMQAR 7 - VILA VELHA  - CENTRO;320520
23;RAMQAR 3 - JARDIM CAMBURI;320530
24;RAMQAR 4 - ENSEADA DO SUÁ;320530
25;RAMQAR 5 - VITÓRIA - CENTRO;320530
381;CENTRO;330455
382;CAMPO GRANDE;330455
383;IRAJÁ;330455
384;PEDRA DE GUARATIBA;330455
385;SÃO CRISTÓVÃO;330455
386;TIJUCA;330455
387;BANGU;330455
401;COPACABANA;330455
174;AMERICANA;350160
142;ARAÇATUBA;350280
141;ARARAQUARA;350320
143;BAURU;350600
132;CAMPINAS-CENTRO;350950
165;CAMPINAS-V.UNIÃO;350950
166;CAMPINAS-TAQUARAL;350950
158;CARAPICUÍBA;351060
153;CATANDUVA;351110
124;CUBATÃO-V.PARISI;351350
130;CUBATÃO-CENTRO;351350
151;CUBATÃO-VALE DO MOGI;351350
134;DIADEMA;351380
173;GUARATINGUETÁ;351840
159;GUARULHOS-PAÇO MUNICIPAL;351880
168;GUARULHOS-PIMENTAS;351880
155;JACAREÍ;352440
145;JAÚ;352530
144;JUNDIAÍ;352590
170;LIMEIRA;352690
146;MARÍLIA;352900
123;MAUÁ;352940
152;OSASCO;353440
150;PAULÍNIA;353650
175;PAULÍNIA-STA TEREZINHA;353650
147;PIRACICABA;353870
148;PRESIDENTE PRUDENTE;354140
172;RIBEIRÃO PRETO;354340
176;RIO CLARO-JD.GUANABARA;354390
164;SANTA GERTRUDES;354670
122;SANTO AMARO;354780
139;S.ANDRÉ-CAPUAVA;354780
156;SANTOS-PONTA DA PRAIA;354850
321;SANTOS;354850
163;S.BERNARDO-CENTRO;354870
201;S.BERNARDO-PAULICÉIA;354870
129;SÃO CAETANO DO SUL;354880
149;SÃO JOSÉ DO RIO PRETO;354980
131;S.JOSÉ CAMPOS;354990
167;S.JOSÉ CAMPOS-JD.SATELITE;354990
121;SANTANA;355030
125;PARQUE D.PEDRO II;355030
126;CONGONHAS;355030
127;IBIRAPUERA;355030
128;MOOCA;355030
133;CERQUEIRA CÉSAR;355030
135;CID.UNIVERSITÁRIA-USP-IPEN;355030
136;N.SENHORA DO Ó;355030
137;GRAJAÚ-PARELHEIROS;355030
138;PINHEIROS;355030
157;INTERLAGOS;355030
160;ITAIM PAULISTA;355030
161;CAPÃO REDONDO;355030
162;MARG.TIETÊ-PTE REMÉDIOS;355030
171;PICO DO JARAGUÁ;355030
221;ITAQUERA;355030
241;PERUS;355030
281;SOROCABA;355220
140;TABOÃO DA SERRA;355280
154;TATUÍ;355400
169;TAUBATÉ;355410
126594;CSN;410180
126596;REPAR;410180
126593;CIC;410690
126595;PONTA GROSSA;411990
126597;PETROSIX;412560
41;CANOAS/PARQUE UNIVERSITÁRIO;430460
261;ESTEIO/PARQUE DE EXPOSIÇÃO;430770
42;GRAVATAÍ/CONDOMÍNIO JARDIM TIMBAÚVA;430920
43;GUAÍBA/PARQUE 35;430930
43781;RIO GRANDE/MOVEL;431560
44;TRIUNFO/POLO PETROQUÍMICO/MÓVEL;432200
341;ESTAÇÃO DE MONITORAMENTO - ELDORADO BRASIL CELULOSE S.A.;500830
24521;ESTAÇÃO METEREOLÓGICA E QUALIDADE DO AR - PETROBRAS - UTE;500830
43801;ESTAÇÃO DE MONITORAMENTO - SUZANO TLS1-VCPTL - TRÊS LAGOAS;500830
